Prefix	Name	Origin	Owner		
AVIU	helisota	LT	Helisota Ltd.		

AVLU	allied	US	Allied Van Lines Inc.		

AVLU		HK	Allied Vantage Leasing Ltd.		

AVNU		IN	Avana Logistek Ltd.		

AVRU		LV	Alpa Vagons S.I.A.		

AVSU	rec silicon	US	Advanced Silicon Materials		

AWIU		DE	Alfred-Wegener-Institut		

AWOU		FI	Oy Woikoski		

AWSU	aws	GB	AW Ship Management Ltd.		

AWTU	opw	DE	OPW Ingedients GmbH.		

AWVU		VN	Air Water Vietnam Co., Ltd.		

AWXU	alaska west express	US	Alaska West Express Inc.		

AXBU	axcessbox	CA	Axcess Box Mobile Storage		

AXEU	asl	HK	Asean Seas Line Co., Ltd.		

AXIU	axis	BM	Textainer Equipment Management Ltd.		

AXSU	axsun	US	Axsun Group		

AYTU		TR	Oztiryakiler Madeni Esya San. Tic. A.S.		

AZEU		AZ	Eurasia Container		

AZKU		NG	Socièté des Mines d'Azelik S.A.		

AZLU	anzdl	DE	Hapag-Lloyd AG. (ex Australian-New Zealand Direct Line)		

AZTU		CY	Protaxon Trading Ltd.
BABJ	babl	US	Boyer Alaska Barge Lines		

BACU	balearia cargo	ES	Eurolinies Maritimes S.A.- Balearia		

BAEU		US	BAE Systems		

BAFU	bulkhaul	GB	Bulkhaul Ltd.		

BAGU					

BAJU		ID	Kementrian Perhubugan		

BAKU		MN	Badrakh Energy LLC.		

BAMU	bäumle	DE	Spedition Bäumle GmbH.		

BANU		IR	Safbon Pars Compressor Co.		

BAPU		AU	BOC Australia Ltd.		

BARU		BB	Barbados Bottling Co. Ltd.		

BASD	basf	DE	BASF SE.		

BASU		GB	British Antarctic Survey		

BATU	balktrade	NL	Container Boxes 4 Sale		

BAXU	bay lines	AE	Sunmarine Shipping Service LLC.		

BAYU	bayer	DE	Chemion Logistik GmbH.		

BBBU		US	BOSS Equipment Inc.		

BBCU	bullbox	ES	Bullbox Contenedores y Embalajes Normalizados S.A.		

BBRU		RU	Itaka Trans		

BBSU		RU	Spectranscontainer LLC.		

BBTU	bress bulk	DE	Bress Mundial Container Service GmbH.		

BBUU		HK	BSL Containers Ltd.		

BBXU		DE	BestBox - Containerhandel e.K.		

BBZU		HK	BSL Containers Ltd.		

BCAU	merchant cement&lime	AU	Merchant Cement & Lime Pty. Ltd.		

BCCU	bulkconcept	CH	Bertschi AG.		

BCDU	belarus	BY	Byelorussian Railway		

BCEU		US	Baudin Consulting Equipment		

BCGU		DE	Bloedorn Container GmbH.		

BCHU	braun	DE	Braun Container Handels GmbH.		

BCIU		JO	Al-Baha Company for Caustic Chlorine Industry		

BCKU	flex-box	CO	Flex-Box Columbia S.A.S.		

BCLU	bcl	BM	Bermuda Container Line Ltd.		

BCMU					

BCNU		NO	BNS Container A/S.		

