Prefix	Name	Origin	Owner		
CEUU		HK	China Eastern Containers Ltd.		

CEXU	chemical express	IT	Chemical Express Autotrasporti		

CEZU		HK	China Eastern Containers Ltd.		

CFBU		DE	Chemische Fabrik Karl Bucher GmbH.		

CFCU		CA	Department of National Defence		

CFHU		CN	Shandong Conglin Fruehauf Automobile Co., Ltd.		

CFMU		MD	State Administration of Railway Transport of Moldavia		

CFQU	cofc	US	COFC Logistics LLC.		

CFRU	cf&s	RU	CF&S Russia Ltd.		

CFSU	classic freight	CA	Classic Freight Systems Ltd.		

CFUU		HK	China Eastern Containers Ltd.		

CFXU		CR	Praxair Costa Rica S.A.		

CFZU		HK	China Eastern Containers Ltd.		

CGAU		AU	Customised Gas Australia Group Pty. Ltd.		

CGBU					

CGBU	coregas	AU	Coregas Pty. Ltd.		

CGCU	cab	IT	C.A.B. Cooperativa Autotrasportatori a.r.l.		

CGEU		PL	P.u.h. Center-Gaz Zbigniew Janas		

CGGU		NO	Seabed Geosolutions AS.		

CGHU	cma cgm	FR	CMA CGM		

CGIU		US	ConGlobal Industries Inc.		

CGKU		HK	CGK International Ltd.		

CGLU		FR	Millennium Inorganic Chemicals Thann S.A.S.		

CGMU	cma cgm	FR	CMA CGM		

CGOU		CG	Air Liquide Congo		

CGRU		ES	Cargor Bizkaia S.L.		

CGSU	pacifica	NZ	Pacifica Shipping (1985) Ltd.		

CGSU	sapio	IT	Sapio Produzione Idrogeno Ossigeno S.r.l.		

CGTU	cma cgm	FR	CMA CGM		

CHCU		PA	Challenge Container Logistics Inc.		

CHDU	cheminova	DK	Cheminova Agro		

CHEU		RU	Chemresurs LLC.		

CHEU	chess	AU	Chess Moving Australia Pty. Ltd.		

CHFU	stolt	BM	Stolt Tank Containers Leasing Ltd.		

CHHU	opdr	DE	CLH Container Logistic Hamburg GmbH. & Co. KG.		

CHIU	centrans	CN	Centrans International Marine Shipping Co., Ltd.		

CHIU	capital	BM	Textainer Equipment Management Ltd.		

CHIU	clean harbors	US	Clean Harbors Inc.		

CHLL	cahill	AU	Cahill Transport		

CHLU	chl	ES	Marguisa Shipping Lines S.L.U.		

CHMU	albemarle	DE	Albemarle Germany GmbH.		

CHPU	chipholbrok	PL	Chinese-Polish Joint Stock Shipping Co.		

CHQU		BR	Chembro Quimica Ltda.		

CHRU		US	Chemours Company FC. LLC.		

CHSU		DE	CHS Container Handel GmbH.		

CHTU		CH	Chiresa AG.		

CHTU		HK	Coherent Box International Co., Ltd.		

CHTU	crc-evans	US	CRC- Evans Pipeline International		

CHTU	chota	JP	Chota Co., Ltd.		

CHUU	loginet	JP	Loginet Japan Co., Ltd.		

CHVU	chv	AT	Container Handels und Vermietungs GmbH.		

CHXU	chemco	NO	Chemco A/S.		

CIAU		IT	Bourgey Montreuil Italia S.r.l.		

CIBU		CH	Cont - Asphalt		

CICU	cimc enric	CN	China International Marine Containers (Group) Ltd.		

CIGU		FR	EDF cig		

CIIU		US	Container - it		

CILU		GB	Cargostore Worldwide Trading Ltd.		

CILU	petrocom	IR	Oil Industry Investment Co.		

CIMU	cimat	ES	Container Investment Manufacturer Auto Motion		

CIMU		CN	Hong Cheng Logistics Co., Ltd.		

CIOU		IT	Centro Internazionale Studi Containers (C.I.S.Co.)		

CIPU	petro	AU	Petro Industrial Ltd.		

CIPU		US	CAI International Inc.		

CIRU		IT	Commissionaria Intertrasporti		

CISU	consar	IT	CON S.A.R. soc. coop. cons.		

CISU	containerwest	CA	ContainerWest Manufacturing Ltd.		

CJKU		KR	CJ Korea Express		

CJRU		JP	China Japan International Ferry Co., Ltd.		

CJTU	vandenbosch.com	NL	L&T BV.		

CJXU	chunjee	KR	Chunjee Shipping Co., Ltd.		

CJYU		CN	Chongqing Transportation Holding (Group) Co., Ltd.		

CJZU	chinjif	CN	China Japan International Ferry Co., Ltd.		

CKBU		GB	CedarKnight Capital Ltd.		

CKCU		HK	Solsino Ltd.		

CKEU		CN	Celerity Tank Logistics (China) Ltd.		

CKFU	lyg c-k ferry	CN	Lianyungang C-K Ferry Co., Ltd.		

CKLU		IN	Ceekay Shipping & Marine Services Ltd. (UK)		

CKLU	ck line	KR	CK Line Co., Ltd.		

CKNU		DE	Knauf Gips KG.		

CKSU	cks	HK	Chu Kong Transshipment & Logistics Co., Ltd.		

CKSU	ck line	KR	CK Line Co., Ltd.		

CKTU	coolworld	NL	Coolworld International BV.		

CKXU	cakeboxx	US	Cakeboxx Technologies LLC.		

CLAR		DE	Clariant Produkte (Deutschland) GmbH.		

CLCU		CZ	Caru Praha S.r.o.		

CLDU	cobelfret	BE	CLdN Cargo NV.		

CLEU		US	Clean Harbors Environmental Services Inc.		

CLFU		AU	Intermodal Solutions Group Pty. Ltd.		

CLGU	bulktainer	US	CLX Logistics LLC.		

CLHA	clean harbors	US	Clean Harbors Inc.		

CLHU	capital	BM	Textainer Equipment Management Ltd.		

CLIU	cogefrin	IT	CLBT Srl.		

CLJU		AE	CLK Transport Fze.		

CLKU	calt	KR	City Airport, Logistics & Travel		

CLLU	cassilon	GB	Cassilon Liquid Logistics		

CLOU	clou	BB	Seaco S.r.l.		

CLPU		IN	Cargosol Logistics Pvt. Ltd.		

CLQU		GB	CliQ Container Trading Ltd.		

CLRU	clarke	CA	Clarke Inc.		

CLRU		IT	C.L.T Soc. Coop A.R.L.		

CLSU	caravel	IN	Caravel Shipping Services Private Ltd.		

CLTU		IT	Sogeco International S.A.		

CLVU		GB	Cleveland Containers		

CLWU		FI	Conlog oy.		

CLXU	container leasing 45	GB	Container Leasing UK Ltd.		

CMAU	cma cgm	FR	CMA CGM		

CMCU	crowley	US	Crowley Maritime Corporation		

CMEU	spartank	PL	Spartank Sp. z.o.o.		

CMGU		ES	Cemengal S.A.		

CMIU		US	Intermobile Container LLC.		

CMLU	chang myung liners	KR	Chang Myung Liners Co., Ltd.		

CMLU	camellia line	JP	Camellia Line Co., Ltd.		

CMLU		KR	Jaebum Co., Ltd.		

CMNU	comanav	MA	CMA CGM (ex Compagnie Marocaine de Navigation)		

CMOU		RU	Cryor LLC.		

CMPU	campioni	IT	Campioni Logistica Integrata S.r.l.		

CMRU	camellia line	JP	Camellia Line Co., Ltd.		

CMRU		CM	Air Liquide Cameroun		

CMTU		DK	IJ-Container aps.		

CMTU	cmt				

CMUU	canmar	DE	Hapag Lloyd AG. (ex Canada Maritime)		

CMZU		MZ	Cornelder de Mocambique S.A.		

CNAU		FR	Technic France		

CNCT	cnc	JP	Carry Net Co.		

CNCU	cnc line	TW	CMA CGM		

CNEU		CA	Canadian National Railway		

CNEU	cai	US	CAI International Inc.		

CNGU		CA	Canadian National Railway		

CNIU	ccni	DK	Maersk Line A/S		

CNNU	cilc	CN	China International Container Leasing		

CNOB	basf				

CNPU		CA	Canadian National Railway		

CNRU	cn intermodal	CA	Canadian National Railway		

CNSU	cns	US	Spinnaker Leasing Corporation		

CNSU		CA	Canadian National Railway		

CNWU		PL	Babra-Pol Szymon Rzepecki		

CNXU		FR	Ifremer		

CNZU		NZ	A1 Containers Ltd.		

COAU		FR	Unauthorised prefix (on B.I.C. authority)		

COBU	sonangol p&p	AO	Sonagol P&P Angola		

COCU	coolboxx	NL	Samskip Multimodal Container Logistics BV.		

CODA	codognotto	IT	Codognotto Italia SpA.		

CODU	crossover	SG	Crossover Asset Management (Singapore) Pte. Ltd.		

CODU		AU	Intermodal Solutions Group Pty. Ltd.		

COFU					

COGU		FR	Orano TN-LMC		

COLU	oeg	SG	OEG Offshore Pte. Ltd.		

COMB	combipass	FR	Combipass S.A.S.		

COMU		AU	Commonwealth Steel Company Pty. Ltd.		

CONU	conservator	NL	Conservator s.i.o. BV.		

CONU	contec	JP	Contec Co., Ltd.		

CONU		US	Container of America LLC.		

COOU	co*operator	DE	Co-operator Container Transport & Logistic GmbH.		

COPU		BE	Maxx intermodal systems		

COQU	concisa	ES	Concisa Cotenedores Cisterna S.A.		

CORU	conteuro	NL	CARU Containers BV.		

COSU	crossover	SG	Crossover Asset Management (Singapore) Pte. Ltd.		

COWU		US	Inguran LLC. Dba. Sexing Technologies		

COXU		LK	Ceylon Oxigen Ltd.		

COYU		GB	Container Projects LLP.		

COYU		GB	Containental Ltd.		

COZU		DK	Maersk Line A/S		

CPAU	combipass	FR	Combipass S.A.S.		

CPBU		HK	Canons Park Equipment Management Inc.		

CPCU		US	Canons Park Equipment Management Inc.		

CPDU		US	IES Downstream LLC.		

CPFU		IT	Futura Enterprise S.r.l.		

CPGU	pelichet	CH	C. Pelichet S.A.		

CPGU	carrier transicold	NL	Carrier Reefers & Gensets BV.		

CPHU	chr hansen	DK	Chr. Hansen A/S.		

CPIU	cpi	DK	Container Providers International		

CPLU		NL	ContainerPlus+ BV.		

CPMU		US	Canons Park Equipment Management Inc.		

CPPU	cp	CA	Canadian Pacific Railway Company		

CPSU		DE	Hapag Lloyd AG. (ex CP Ships)		

CPTU		RU	Tk. SRT		

CPWU		DK	Container Providers International ApS.		

CPXU	cpx	CA	Coastal Pacific Xpress Inc.		

CQLU	topchains	HK	TopChains International Logistics Co., Ltd.		

CRBU		CN	China Railway Tielong Container Logistics Co., Ltd.		

CRDU	cardo	DE	Cardo Facility and Logistic Services GmbH.		

CREU	c.r. england	US	C.R. England Global Transportation		

CREU	crestchic	GB	Crestchic Ltd.		

CRFU		IT	C.R.Technology Systems SpA.		

CRGU	cargotainer	DE	Cargotainer GmbH.		

CRHU		RO	Cros Construct Srl.		

CRIU		CA			

CRJU	crimt	CN	China Railway International Multimodal Transport Co., Ltd.		

CRKU	richter	DE	Curt Richter se.		

CRLU	carlisle	US	SeaCube Container Leasing Ltd.		

CRMU		KR	Ace Engineering & Co., Ltd.		

CRMU	carim	JP	Carim Engineering Corporation		

CRNU	crown	HK	Crown Relocations		

CRNU		ID	PT. Indonesia Ruipi Nickel and Chrome Alloy		

CROU		KR	Cryos Co., Ltd.		

CRPU		PT	Ciimar Renting SA.		

CRRU		US	Crimson Shipping Company Inc.		

CRRU	cr	AU	Container Refrigeration		

CRSU	cr	AU	Container Refrigeration		

CRSU	cronos	BB	Seaco S.r.l.		

CRTU	cronos	BB	Seaco S.r.l.		

CRWU	crown	HK	Crown Relocations		

CRXU	cronos	BB	Seaco S.r.l.		

CRYU	cryotainer	NL	Cryo Rental BV.		

CSAU	corsa	MX	Corporativo de Servicios Ambientales S.A. de C.V.		

CSBU		PH	Cebu Sea Charterers Inc.		

CSCU		AE	Container Solutions Co. LLC.		

CSFU	containerships	FI	Containerships Ltd.Oy.		

CSFU	china star	CN	China Star FluoroChemical Co., Ltd.		

CSHU	csh	US	Container Storage Company of Hawaii Ltd.		

CSHU		GB	Container Sales & Hire Ltd.		

CSIU		US	CSI Group LLC.		

CSLL	csl	NZ	Container Sales & Leasing Ltd.		

CSLU	china shipping	HK	Cosco Shipping Development (Asia) Co., Ltd.		

CSMU		ES	Castellón Shipping S.A.		

CSNU	cosco	CN	Cosco Shipping Lines Co., Ltd.		

CSOU	containerships	FI	Containerships Ltd.Oy.		

CSPU		DK	Containerspot A/S.		

CSPU		SG	Container Specialist Pte. Ltd.		

CSPU	intermodal solutions	AU	Intermodal Solutions Group Pty. Ltd.		

CSQU	contship	DE	Hapag Lloyd AG. (ex Contship containerlines)		

CSRU		SG	Container Specialist Pte. Ltd.		

CSRU	canstore	CA	ContainerWest Manufacturing Ltd.		

CSRU		IT	Cryo Service S.r.l.		

CSSU		GB	Container Sales (UK) Ltd.		

CSTU		DE	Container Service Friedrich Tiemann GmbH & Co. KG.		

CSUU		DE	Container Speditions und Transport GmbH.		

CSVU	csav	DE	Hapag Lloyd AG. (ex Compania Sudamericana de Vapores S.A.)		

CSXU	csx	US	CSX Transportation Inc.		

CSXU	container storage	US	Container Storage		

CSZU		US	Container Storage		

CTAU	cooltainer	NZ	Cooltainer New Zealand Ltd.		

CTCU	termcotank	CH	Termcotank S.A.		

CTCU	chemicals transport	JP	Chemicals Transport Co., Ltd.		

CTDU		SA	The Saudi Company of Chemical Trading Ltd.		

CTFU	con.a.p.	IT	Con.a.p.		

CTHU		US	Chemical Transfer Company Inc.		

CTHU	clarke	CA	Clarke Inc.		

CTIU		IN	Chloritech Industries		

CTKU	contank	ES	Contank S.A.		

CTLU		NL	Container Trading & Leasing BV.		

CTMU	cetem	BE	Cetem Containers NV.		

CTNU	contec	JP	Contec Co., Ltd.		

CTNU	cotunav	TN	Compagnie Tunisienne de Navigation		

CTNU		DE	Contargo GmbH. & Co. KG.		

CTPU	ctp	ID	CTP Line (Pelayaran Caraka Tirta Perkasa)		

CTQU		CA	CTR International Inc.		

CTRU	centrum	NL	H. EssersTransport Nederland BV.		

CTTU		TR	Canta? ?ç ve D?? Ticaret So?utma Sistemleri Sanayi A. ?		

CTUU					

CTUU		CZ	University Centre for Energy Efficient Buildings of Technical University in Prague		

CTUV		NL	Container Terminal Utrecht Verhuur		

CTWU		US	SeaCube Container Leasing Ltd.		

CTXU	containex	AT	Containex Container Handels GmbH.		

CUBU		NL	CARU Containers BV.		

CUCU		BB	Seaco S.r.l.		

CUNU		NO	Combiunits A/S.		

CVAU		US	Taylor - Wharton America Inc.		

CVTU	cosco vtg tanktainer	CN	Cosco VOTG Tanktainer Co., Ltd.		

CVVU		ID	CV. Sukses Maju Bersama		

CWFU	cowin	CN	Guangzhou Cowin International Freight Forwarding Agency Co., Ltd.		

CWLU	containerworld	ZA	Container World (Pty.) Ltd.		

CWSU	gcatainer	NL	GCATainer BV. (ex Cargotank Worldwide Services)		

CWTU	cwt	SG	CWT limited.		

CWTU	cw	HK	Cheong Wing Logistic Management Ltd.		

CWTU		GB	Cargostore Worldwide Trading Ltd.		

CWWU		CA	Corridor Canada Inc.		

CXCU	horizon	US	Matson Navigation Company Inc.		

CXDU	cronos	BB	Seaco S.r.l.		

CXGU	cxpc	CN	Jiangsu Chengxing Phosph-Chemical Co., Ltd.		

CXHU		HK	CeX (HKG) Ltd.		

CXIU	ce	DK	Titan Containers A/S.		

CXLU		CN	Cangzhou Sunheat Chemicals Co., Ltd.		

CXNU	concor	IN	Container Corporation of India		

CXPU	comurhex	FR	Orano Cycle		

CXRU	cronos	BB	Seaco S.r.l.		

CXSU	cronos	BB	Seaco S.r.l.		

CXTU	cronos	BB	Seaco S.r.l.		

CXWU		US	Conexwest		

CYAU		US	Cyanco International LLC.		

CYCU		PL	Transplanner Sp. Z.O.O.		

CYDU		HK	Cryodirect		

CYGU	chugai boyeki	JP	CBC Co., Ltd.		

CYKU		HK			

CYLU		FR	Cryolor		

CYMA	cyma	GB	CYMA Petroleum (UK) Ltd.		

CYMU		HK	BSL Containers Ltd.		

CYZU		CN	CRRC Yangtze Co., Ltd.		

CZLU	contaz	FI	Containerships Ltd.Oy.		

CZPU		AT	Conzept Containerhandel GmbH.		

CZTU	centrans	HK	Centrans International Marine Shipping Co., Ltd.		

CZZU	cai	US	CAI International Inc.
